# C2 = 1.46740110
# z   chi[kpc]   P(z)   M2   M3   M4
0.325912 1.33390849e+06 2.26190461e-15 5.10939654e-04 5.18324785e+02 5.61837445e+08
0.340541 1.38829267e+06 2.23224752e-15 5.73880257e-04 6.05704762e+02 6.83146426e+08
0.355827 1.44462016e+06 2.20164733e-15 6.44114863e-04 7.07167090e+02 8.29720951e+08
0.371800 1.50293486e+06 2.17010014e-15 7.22408366e-04 8.24837125e+02 1.00657135e+09
0.388489 1.56327923e+06 2.13760475e-15 8.09592151e-04 9.61129726e+02 1.21963474e+09
0.405927 1.62569400e+06 2.10416285e-15 9.06567584e-04 1.11878210e+03 1.47592927e+09
0.424148 1.69021788e+06 2.06977930e-15 1.01430927e-03 1.30088903e+03 1.78372965e+09
0.443187 1.75688731e+06 2.03446231e-15 1.13386802e-03 1.51094028e+03 2.15276603e+09
0.463081 1.82573606e+06 1.99822367e-15 1.26637342e-03 1.75286016e+03 2.59444788e+09
0.483867 1.89679500e+06 1.96107893e-15 1.41303586e-03 2.03104875e+03 3.12211461e+09
0.505587 1.97009171e+06 1.92304759e-15 1.57514800e-03 2.35042454e+03 3.75131419e+09
0.528282 2.04565019e+06 1.88415332e-15 1.75408542e-03 2.71646791e+03 4.50011089e+09
0.551995 2.12349050e+06 1.84442401e-15 1.95130643e-03 3.13526485e+03 5.38942220e+09
0.576773 2.20362842e+06 1.80389196e-15 2.16835083e-03 3.61355006e+03 6.44338509e+09
0.602663 2.28607519e+06 1.76259395e-15 2.40683756e-03 4.15874864e+03 7.68975003e+09
0.629715 2.37083710e+06 1.72057128e-15 2.66846095e-03 4.77901509e+03 9.16030075e+09
0.657981 2.45791532e+06 1.67786977e-15 2.95498569e-03 5.48326864e+03 1.08912963e+10
0.687516 2.54730545e+06 1.63453976e-15 3.26824008e-03 6.28122324e+03 1.29239305e+10
0.718377 2.63899752e+06 1.59063603e-15 3.61010770e-03 7.18341104e+03 1.53048018e+10
0.750623 2.73297545e+06 1.54621763e-15 3.98251728e-03 8.20119728e+03 1.80863866e+10
0.784317 2.82921723e+06 1.50134776e-15 4.38743074e-03 9.34678544e+03 2.13275044e+10
0.819523 2.92769444e+06 1.45609349e-15 4.82682933e-03 1.06332102e+04 2.50937631e+10
0.856310 3.02837241e+06 1.41052550e-15 5.30269785e-03 1.20743173e+04 2.94579721e+10
