z,sigma8,xi_min,alpha_hill,alpha_pareto,tail_event_count
2.0,0.75,0.005541020330009492,1.4039270246656232,1.4039270246656232,38016
2.0,0.75,0.006422325422229356,1.4292778331372893,1.4292778331372893,31405
2.0,0.75,0.007443803013251681,1.451269640438372,1.451269640438372,25776
2.0,0.75,0.008627747685955867,1.4821916269412077,1.4821916269412077,21198
2.0,0.75,0.01,1.5080723020287519,1.5080723020287519,17296
2.0,0.81,3.1622776601683795e-05,0.25598964330626756,0.25598964330626756,502949
2.0,0.81,3.665241237079626e-05,0.26604189894560865,0.26604189894560865,502949
2.0,0.81,4.248201698162608e-05,0.27691589091708896,0.27691589091708896,502949
2.0,0.81,4.9238826317067415e-05,0.2887166742143126,0.2887166742143126,502949
2.0,0.81,5.707031326057167e-05,0.3015680086300917,0.3015680086300917,502949
2.0,0.81,6.614740641230145e-05,0.31561671562182975,0.31561671562182975,502949
2.0,0.81,7.666822074546222e-05,0.3310383124822835,0.3310383124822835,502949
2.0,0.81,8.886238162743407e-05,0.34804438313903074,0.34804438313903074,502949
2.0,0.81,0.00010299603658099899,0.36689234389917036,0.36689234389917036,502949
2.0,0.81,0.00011937766417144357,0.38789856398818506,0.38789856398818506,502949
2.0,0.81,0.00013836480680324593,0.41145626707725397,0.41145626707725397,502949
2.0,0.81,0.0001603718743751331,0.4380603777170061,0.4380603777170061,502949
2.0,0.81,0.00018587918911465635,0.46834267329657464,0.46834267329657464,502949
2.0,0.81,0.00021544346900318823,0.5031225986691013,0.5031225986691013,502949
2.0,0.81,0.0002497099786006541,0.5434825385364641,0.5434825385364641,502949
2.0,0.81,0.0002894266124716752,0.5908824792125138,0.5908824792125138,502949
2.0,0.81,0.00033546021859540435,0.6473404049329212,0.6473404049329212,502949
2.0,0.81,0.00038881551803080855,0.7157270392271504,0.7157270392271504,502949
2.0,0.81,0.0004506570337745473,0.80026947727384,0.80026947727384,502949
2.0,0.81,0.0005223345074266843,0.9074595648909116,0.9074595648909116,502949
2.0,0.81,0.0006054123584037269,1.0478052045409052,1.0478052045409052,502949
2.0,0.81,0.0007017038286703822,1.1693753014572632,1.1693753014572632,475331
2.0,0.81,0.0008133105582266928,1.1814221776694027,1.1814221776694027,403747
2.0,0.81,0.0009426684551178855,1.1937836698014996,1.1937836698014996,342394
2.0,0.81,0.001092600861117378,1.206266950107878,1.206266950107878,289835
2.0,0.81,0.0012663801734674022,1.2196983317711143,1.2196983317711143,245010
2.0,0.81,0.0014677992676220691,1.2332068509527934,1.2332068509527934,206717
2.0,0.81,0.0017012542798525892,1.2471810758010433,1.2471810758010433,174097
2.0,0.81,0.001971840556512642,1.2634173072940673,1.2634173072940673,146540
2.0,0.81,0.0022854638641349886,1.2812402762816137,1.2812402762816137,123167
2.0,0.81,0.0026489692876105267,1.2946192283974638,1.2946192283974638,102909
2.0,0.81,0.00307029062975785,1.3131768216910327,1.3131768216910327,86113
2.0,0.81,0.0035586235730509655,1.3314000809242772,1.3314000809242772,71813
2.0,0.81,0.004124626382901348,1.3497381427616986,1.3497381427616986,59739
2.0,0.81,0.00478065253300738,1.3731243507657627,1.3731243507657627,49709
2.0,0.81,0.005541020330009492,1.3921809606340112,1.3921809606340112,41090
2.0,0.81,0.006422325422229356,1.4133185243388418,1.4133185243388418,33916
2.0,0.81,0.007443803013251681,1.4384458189693472,1.4384458189693472,27967
2.0,0.81,0.008627747685955867,1.466274467978585,1.466274467978585,23007
2.0,0.81,0.01,1.4946967682807444,1.4946967682807444,18852
2.0,0.87,3.1622776601683795e-05,0.2524156970361178,0.2524156970361178,501709
2.0,0.87,3.665241237079626e-05,0.26218387182143066,0.26218387182143066,501709
2.0,0.87,4.248201698162608e-05,0.27273851446556463,0.27273851446556463,501709
2.0,0.87,4.9238826317067415e-05,0.2841785906637385,0.2841785906637385,501709
2.0,0.87,5.707031326057167e-05,0.296620397636025,0.296620397636025,501709
2.0,0.87,6.614740641230145e-05,0.3102015318545735,0.3102015318545735,501709
2.0,0.87,7.666822074546222e-05,0.3250859990767145,0.3250859990767145,501709
2.0,0.87,8.886238162743407e-05,0.3414708697026527,0.3414708697026527,501709
2.0,0.87,0.00010299603658099899,0.3595950536040301,0.3595950536040301,501709
2.0,0.87,0.00011937766417144357,0.379751026025379,0.379751026025379,501709
2.0,0.87,0.00013836480680324593,0.4023007312062835,0.4023007312062835,501709
2.0,0.87,0.0001603718743751331,0.42769750986689165,0.42769750986689165,501709
2.0,0.87,0.00018587918911465635,0.4565168918829672,0.4565168918829672,501709
2.0,0.87,0.00021544346900318823,0.4895007377881188,0.4895007377881188,501709
2.0,0.87,0.0002497099786006541,0.527622006149566,0.527622006149566,501709
2.0,0.87,0.0002894266124716752,0.5721823405293739,0.5721823405293739,501709
2.0,0.87,0.00033546021859540435,0.6249636682774431,0.6249636682774431,501709
2.0,0.87,0.00038881551803080855,0.6884722317847619,0.6884722317847619,501709
2.0,0.87,0.0004506570337745473,0.766348240184811,0.766348240184811,501709
2.0,0.87,0.0005223345074266843,0.8640890052016178,0.8640890052016178,501709
2.0,0.87,0.0006054123584037269,0.9904063491556251,0.9904063491556251,501709
2.0,0.87,0.0007017038286703822,1.15804843252679,1.15804843252679,500877
2.0,0.87,0.0008133105582266928,1.1754290248292607,1.1754290248292607,427794
2.0,0.87,0.0009426684551178855,1.1869466087254028,1.1869466087254028,362869
2.0,0.87,0.001092600861117378,1.1990080983121805,1.1990080983121805,307358
2.0,0.87,0.0012663801734674022,1.2132436396771846,1.2132436396771846,260288
2.0,0.87,0.0014677992676220691,1.2253484998947375,1.2253484998947375,219580
2.0,0.87,0.0017012542798525892,1.2397221396384455,1.2397221396384455,185207
